City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Bengkulu,ID,2022-04-26 23:39:16,-3.8004,102.2655,77.43,87,42,3.76
60,Qui Nhon,VN,2022-04-26 23:39:17,13.7667,109.2333,80.19,82,25,3.29
61,Mar Del Plata,AR,2022-04-26 23:39:17,-38.0023,-57.5575,64.42,100,100,24.0
62,Kalmeshwar,IN,2022-04-26 23:39:18,21.2333,78.9,83.82,16,63,5.75
63,Svetlaya,RU,2022-04-26 23:39:18,46.5389,138.3297,45.59,68,95,11.97
64,Ponta Do Sol,PT,2022-04-26 23:39:19,32.6667,-17.1,61.72,68,14,3.38
65,Honningsvag,NO,2022-04-26 23:39:19,70.9821,25.9704,20.95,73,75,24.16
66,Chokurdakh,RU,2022-04-26 23:39:19,70.6333,147.9167,13.51,92,100,9.06
67,Aklavik,CA,2022-04-26 23:39:20,68.2191,-135.0107,31.32,89,82,7.34
68,Faanui,PF,2022-04-26 23:39:20,-16.4833,-151.75,82.56,73,21,18.88
69,Cape Town,ZA,2022-04-26 23:39:21,-33.9258,18.4232,59.92,73,0,18.41
70,Baykit,RU,2022-04-26 23:39:21,61.67,96.37,28.0,78,20,3.42
71,Bethel,US,2022-04-26 23:39:21,41.3712,-73.414,56.01,92,100,3.44
72,Tuskegee,US,2022-04-26 23:39:22,32.424,-85.6916,67.24,100,72,1.99
73,Kodiak,US,2022-04-26 23:39:22,57.79,-152.4072,51.31,50,100,8.05
74,Fortuna,US,2022-04-26 23:39:23,40.5982,-124.1573,57.09,64,75,20.71
75,Tuktoyaktuk,CA,2022-04-26 23:36:31,69.4541,-133.0374,15.8,92,40,8.05
76,Ixtapa,MX,2022-04-26 23:39:23,20.7,-105.2,79.83,65,0,11.5
77,Bonavista,CA,2022-04-26 23:39:23,48.6499,-53.1147,33.98,93,73,4.18
78,Yanam,IN,2022-04-26 23:39:24,16.7333,82.2167,77.07,96,29,2.33
79,Saint-Philippe,RE,2022-04-26 23:39:24,-21.3585,55.7679,72.99,84,36,7.45
80,Plettenberg Bay,ZA,2022-04-26 23:35:11,-34.0527,23.3716,55.62,81,0,3.6
81,Lakes Entrance,AU,2022-04-26 23:39:25,-37.8811,147.981,63.05,64,94,3.98
82,Hobart,AU,2022-04-26 23:38:19,-42.8794,147.3294,54.27,97,75,9.22
83,Port Hardy,CA,2022-04-26 23:38:55,50.6996,-127.4199,46.58,71,100,11.5
84,Qaqortoq,GL,2022-04-26 23:39:25,60.7167,-46.0333,37.06,82,100,1.7
85,Ribeira Grande,PT,2022-04-26 23:39:26,38.5167,-28.7,63.03,93,67,24.14
86,Key West,US,2022-04-26 23:39:26,24.5557,-81.7826,82.4,68,0,12.66
87,Nanortalik,GL,2022-04-26 23:37:59,60.1432,-45.2371,36.99,83,100,8.79
88,Yantal,RU,2022-04-26 23:39:27,56.8471,105.2542,34.52,94,100,13.47
89,Victoria,HK,2022-04-26 23:36:31,22.2855,114.1577,84.25,84,3,4.0
90,Saldanha,ZA,2022-04-26 23:39:05,-33.0117,17.9442,50.05,80,0,11.92
91,Severo-Kurilsk,RU,2022-04-26 23:37:43,50.6789,156.125,33.22,82,62,3.38
92,Zhigansk,RU,2022-04-26 23:39:27,66.7697,123.3711,14.95,90,32,12.77
93,Sao Joao Da Barra,BR,2022-04-26 23:34:31,-21.6403,-41.0511,75.2,89,16,6.87
94,Olafsvik,IS,2022-04-26 23:39:28,64.8945,-23.7142,42.51,78,98,5.08
95,Atuona,PF,2022-04-26 23:38:58,-9.8,-139.0333,78.67,76,17,21.56
96,Khatima,IN,2022-04-26 23:40:28,28.9167,79.9667,76.01,21,0,5.57
97,Lagoa,PT,2022-04-26 23:40:29,39.05,-27.9833,61.52,90,59,23.0
98,Cayenne,GF,2022-04-26 23:36:38,4.9333,-52.3333,82.09,1,20,3.0
99,Sangar,RU,2022-04-26 23:40:29,63.9242,127.4739,19.81,86,42,4.0
100,Jinchang,CN,2022-04-26 23:40:30,38.4953,102.1739,45.79,48,100,18.14
101,High Prairie,CA,2022-04-26 23:40:30,55.4334,-116.4858,46.83,72,100,7.85
102,Huarmey,PE,2022-04-26 23:40:30,-10.0681,-78.1522,68.49,86,76,9.26
103,Mazatlan,MX,2022-04-26 23:40:31,23.2167,-106.4167,82.36,78,0,8.05
104,Mareeba,AU,2022-04-26 23:40:31,-17.0,145.4333,79.48,82,29,3.44
105,Lavrentiya,RU,2022-04-26 23:40:11,65.5833,-171.0,26.47,82,49,2.28
106,Cidreira,BR,2022-04-26 23:40:32,-30.1811,-50.2056,71.22,91,25,11.61
107,Mount Gambier,AU,2022-04-26 23:36:29,-37.8333,140.7667,60.71,82,100,9.22
108,Viedma,AR,2022-04-26 23:40:32,-40.8135,-62.9967,61.21,33,97,13.0
109,Pangnirtung,CA,2022-04-26 23:40:33,66.1451,-65.7125,-8.46,93,7,5.75
110,Guaranda,EC,2022-04-26 23:40:33,-1.6,-79.0,55.62,99,100,3.31
111,Khatanga,RU,2022-04-26 23:40:15,71.9667,102.5,16.02,89,100,9.4
112,Hukuntsi,BW,2022-04-26 23:40:34,-24.0,21.75,61.16,35,0,10.67
113,Puerto Ayora,EC,2022-04-26 23:40:34,-0.7393,-90.3518,73.89,82,73,5.28
114,Narsaq,GL,2022-04-26 23:40:34,60.9167,-46.05,41.22,83,100,1.19
115,Kaitangata,NZ,2022-04-26 23:40:35,-46.2817,169.8464,54.36,77,87,6.24
116,Bonthe,SL,2022-04-26 23:40:35,7.5264,-12.505,80.35,86,47,6.91
117,Kisangani,CD,2022-04-26 23:40:35,0.5167,25.2,69.94,98,98,1.77
118,Nelson Bay,AU,2022-04-26 23:36:17,-32.7167,152.15,71.01,86,97,11.86
119,Hamilton,US,2022-04-26 23:38:00,39.1834,-84.5333,55.09,49,0,6.91
120,Yanai,JP,2022-04-26 23:40:36,33.9667,132.1167,66.2,87,100,4.7
121,Ust-Nera,RU,2022-04-26 23:40:36,64.5667,143.2,18.66,85,100,5.48
122,Broken Hill,AU,2022-04-26 23:40:37,-31.95,141.4333,60.51,88,100,10.36
123,Cabo San Lucas,MX,2022-04-26 23:35:48,22.8909,-109.9124,89.62,44,0,6.91
124,Wabana,CA,2022-04-26 23:40:37,47.6332,-52.9481,37.08,96,100,10.36
125,Grand Gaube,MU,2022-04-26 23:40:37,-20.0064,57.6608,74.37,76,17,5.01
126,Korla,CN,2022-04-26 23:40:38,41.7597,86.1469,53.53,51,0,15.95
127,Tieling,CN,2022-04-26 23:40:38,42.2931,123.8414,50.95,33,86,6.24
128,Esperance,AU,2022-04-26 23:37:50,-33.8667,121.9,58.84,61,50,4.05
129,College,US,2022-04-26 23:40:39,64.8569,-147.8028,51.75,43,75,4.61
130,Nabire,ID,2022-04-26 23:40:39,-3.3667,135.4833,84.74,69,84,1.34
131,Manokwari,ID,2022-04-26 23:40:34,-0.8667,134.0833,83.84,67,65,4.32
132,Vila Franca Do Campo,PT,2022-04-26 23:40:40,37.7167,-25.4333,65.19,91,37,9.08
133,Katherine,AU,2022-04-26 23:40:40,-14.4667,132.2667,86.32,42,75,6.91
134,Nouakchott,MR,2022-04-26 23:40:41,18.0858,-15.9785,69.73,70,0,19.77
135,Iquique,CL,2022-04-26 23:40:41,-20.2208,-70.1431,64.44,81,60,5.3
136,Puerto Del Rosario,ES,2022-04-26 23:40:42,28.5004,-13.8627,64.15,77,75,10.36
137,Bischofswerda,DE,2022-04-26 23:40:42,51.1277,14.1797,45.55,90,92,2.28
138,Lebu,CL,2022-04-26 23:37:47,-37.6167,-73.65,49.69,82,8,9.13
139,Comodoro Rivadavia,AR,2022-04-26 23:41:42,-45.8667,-67.5,44.46,61,20,8.05
140,Hofn,IS,2022-04-26 23:41:27,64.2539,-15.2082,45.0,72,38,4.12
141,Eureka,US,2022-04-26 23:40:26,40.8021,-124.1637,60.67,71,27,8.99
142,Forbes,AU,2022-04-26 23:41:43,-33.3833,148.0167,59.92,90,100,14.0
143,Zhezkazgan,KZ,2022-04-26 23:41:44,47.8043,67.7144,50.72,39,56,3.47
144,Maxixe,MZ,2022-04-26 23:41:44,-23.8597,35.3472,68.74,73,60,9.37
145,Alekseyevka,RU,2022-04-26 23:41:44,50.6309,38.6903,52.9,87,30,5.59
146,Tashtyp,RU,2022-04-26 23:41:45,52.7939,89.8983,39.67,73,100,2.28
147,Morondava,MG,2022-04-26 23:41:45,-20.2833,44.2833,77.02,82,100,5.82
148,Provideniya,RU,2022-04-26 23:41:45,64.3833,-173.3,26.71,86,75,13.42
149,Kirakira,SB,2022-04-26 23:41:46,-10.4544,161.9205,84.36,72,72,7.07
150,Serowe,BW,2022-04-26 23:41:46,-22.3833,26.7167,61.05,87,20,7.92
151,Madarounfa,NE,2022-04-26 23:41:46,13.3087,7.156,89.42,9,47,8.12
152,Tiksi,RU,2022-04-26 23:41:47,71.6872,128.8694,6.82,90,49,0.72
153,Lompoc,US,2022-04-26 23:41:47,34.6391,-120.4579,63.93,69,0,34.0
154,Biu,NG,2022-04-26 23:41:48,10.6129,12.1946,83.1,41,96,4.32
155,Paamiut,GL,2022-04-26 23:41:48,61.994,-49.6678,35.37,90,100,26.53
156,Alta Floresta,BR,2022-04-26 23:41:19,-9.8756,-56.0861,73.38,79,24,3.22
157,Yelizovo,RU,2022-04-26 23:41:48,53.1873,158.3805,46.54,36,0,8.95
158,Sao Felix Do Xingu,BR,2022-04-26 23:37:17,-6.6447,-51.995,72.88,85,53,2.77
159,Sao Filipe,CV,2022-04-26 23:41:49,14.8961,-24.4956,74.46,70,18,15.08
160,Sitka,US,2022-04-26 23:39:30,57.0531,-135.33,46.29,76,100,9.22
161,Alexandria,EG,2022-04-26 23:41:49,31.2156,29.9553,62.56,82,0,5.75
162,Klaksvik,FO,2022-04-26 23:41:50,62.2266,-6.589,36.52,68,95,5.5
163,Ostrovskoye,RU,2022-04-26 23:41:50,57.8057,42.2433,39.99,96,86,6.13
164,Grodzisk Wielkopolski,PL,2022-04-26 23:41:51,52.2276,16.3653,49.82,72,86,2.71
165,Denpasar,ID,2022-04-26 23:38:54,-8.65,115.2167,76.71,83,20,2.3
166,Georgetown,MY,2022-04-26 23:41:51,5.4112,100.3354,80.53,93,20,4.61
167,Salalah,OM,2022-04-26 23:41:08,17.0151,54.0924,82.49,74,20,3.44
168,Sinnamary,GF,2022-04-26 23:41:52,5.3833,-52.95,78.49,87,100,6.8
169,Santa Vitoria Do Palmar,BR,2022-04-26 23:41:52,-33.5189,-53.3681,69.03,83,45,12.77
170,Venado Tuerto,AR,2022-04-26 23:41:52,-33.7456,-61.9688,72.77,95,77,9.24
171,Thompson,CA,2022-04-26 23:40:42,55.7435,-97.8558,41.16,24,0,6.91
172,Hervey Bay,AU,2022-04-26 23:41:53,-25.2986,152.8535,77.02,70,99,5.01
173,Seminole,US,2022-04-26 23:39:36,28.7086,-81.2081,83.37,65,0,9.22
