City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Vestmanna,FO,62.1564,-7.1664,40.12,87,100,0.0,overcast clouds
70,Bairnsdale,AU,-37.8333,147.6167,77.05,61,96,3.0,overcast clouds
71,Pangkalanbuun,ID,-2.6833,111.6167,91.4,57,100,1.39,overcast clouds
72,Bontang,ID,0.1333,117.5,84.27,70,100,5.19,overcast clouds
73,Alice Springs,AU,-23.7,133.8833,92.75,17,1,10.36,clear sky
74,Cherskiy,RU,68.75,161.3,21.65,89,100,11.83,overcast clouds
75,Nhulunbuy,AU,-12.2333,136.7667,88.41,62,40,12.66,scattered clouds
76,Chilca,PE,-12.5211,-76.7372,65.03,91,62,4.99,broken clouds
77,East London,ZA,-33.0153,27.9116,70.41,46,4,6.73,clear sky
78,Grand-Santi,GF,4.25,-54.3833,73.08,99,98,2.64,overcast clouds
79,Kollam,IN,8.8833,76.6,83.44,79,99,4.65,overcast clouds
80,Qasigiannguit,GL,68.8193,-51.1922,26.85,98,100,4.23,overcast clouds
81,Vallenar,CL,-28.5708,-70.7581,64.11,43,0,0.72,clear sky
82,Rio Gallegos,AR,-51.6226,-69.2181,39.25,70,40,20.71,scattered clouds
83,Cananea,MX,30.95,-110.3,58.14,21,0,13.53,clear sky
84,Lebedinyy,RU,58.5167,125.5167,28.36,70,100,5.82,light snow
85,Cape Town,ZA,-33.9258,18.4232,58.87,89,98,1.99,overcast clouds
86,Port Alfred,ZA,-33.5906,26.891,67.91,51,9,10.76,clear sky
87,Port Elizabeth,ZA,-33.918,25.5701,61.32,66,3,8.93,clear sky
88,Thompson,CA,55.7435,-97.8558,34.18,94,100,6.42,overcast clouds
89,Dubovka,RU,49.0583,44.829,49.15,66,0,8.68,clear sky
90,Georgetown,MY,5.4112,100.3354,87.73,74,20,3.44,few clouds
91,Poya,NC,-21.35,165.15,74.01,80,100,4.83,overcast clouds
92,Cabo San Lucas,MX,22.8909,-109.9124,75.61,67,50,13.35,scattered clouds
93,Solvychegodsk,RU,61.3305,46.9156,29.28,66,68,7.09,broken clouds
94,Narsaq,GL,60.9167,-46.05,43.02,82,100,1.61,overcast clouds
95,Vrangel,RU,42.7297,133.0839,47.57,56,100,9.1,overcast clouds
96,Guerrero Negro,MX,27.9769,-114.0611,59.36,73,0,20.51,clear sky
97,Fuerte Olimpo,PY,-21.0415,-57.8738,79.5,37,84,4.59,broken clouds
98,Ahipara,NZ,-35.1667,173.1667,66.78,62,50,6.22,scattered clouds
