City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
138,Itacoatiara,BR,75.42,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
139,Pizarro,CO,77.31,moderate rain,4.9533,-77.366,Hotel Limonar
140,Vung Tau,VN,77.58,light rain,10.346,107.0843,Seaside Resort
141,Sao Geraldo Do Araguaia,BR,74.52,broken clouds,-6.4006,-48.555,Hotel Por do Sol
142,Sungaipenuh,ID,78.13,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
143,Phan Thiet,VN,76.93,light rain,10.9333,108.1,Hotel Saigon-PT
144,Conceicao Do Araguaia,BR,74.93,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
145,Touros,BR,76.87,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
146,Mount Gambier,AU,67.91,light rain,-37.8333,140.7667,The Commodore
147,Owando,CG,69.73,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
148,Jalu,LY,76.93,clear sky,29.0331,21.5482,صاحبة الفخامة
149,Loandjili,CG,77.11,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
150,Tukrah,LY,67.8,overcast clouds,32.5341,20.5791,Lagrota restaurant
